,Unnamed: 0,LOCATION,YEAR,Cooling_degree_days,Heating_degree_days,PDSI,PHDI,Palmer-Z-index,Crop Moisture Stress Index (CMSI),Avg_Temp_Season_1,Avg_Temp_Season_2,Avg_Temp_Season_3,Avg_Temp_Season_4,Max_Temp_Season_1,Max_Temp_Season_2,Max_Temp_Season_3,Max_Temp_Season_4,Min_Temp_Season_1,Min_Temp_Season_2,Min_Temp_Season_3,Min_Temp_Season_4
508,508,NEW MEXICO,2006,970,4387,-0.7316666666666668,-1.705833333333333,-0.44,14.705,41.2,64.73333333333333,68.56666666666668,44.46666666666667,57.26666666666667,81.89999999999999,81.5,59.36666666666667,25.100000000000005,47.63333333333333,55.666666666666664,29.63333333333333
509,509,NEW YORK,2006,620,5486,2.7883333333333336,2.7883333333333336,1.14,14.705,28.833333333333332,55.26666666666667,65.3,41.13333333333333,37.699999999999996,66.2,75.23333333333333,49.333333333333336,19.900000000000002,44.366666666666674,55.333333333333336,32.86666666666667
510,510,NORTH CAROLINA,2006,1360,3139,0.1458333333333334,0.4583333333333333,0.25,14.705,46.166666666666664,66.33333333333333,74.66666666666666,52.1,57.699999999999996,78.63333333333334,84.76666666666667,64.03333333333335,34.63333333333333,54.06666666666666,64.56666666666666,40.1
511,511,NORTH DAKOTA,2006,602,8291,-0.8566666666666668,-0.5233333333333334,-0.83,14.705,22.8,56.43333333333334,66.19999999999999,29.899999999999995,31.600000000000005,69.56666666666666,80.46666666666667,40.96666666666667,14.033333333333333,43.333333333333336,52.0,18.9
512,512,OHIO,2006,734,5239,0.8833333333333334,0.6408333333333334,1.0,14.705,36.36666666666667,60.333333333333336,69.8,44.333333333333336,44.666666666666664,72.06666666666666,79.86666666666666,53.56666666666666,28.066666666666666,48.666666666666664,59.73333333333333,35.099999999999994
513,513,OKLAHOMA,2006,2154,3017,-3.815000000000001,-4.486666666666667,-1.53,14.705,47.03333333333333,71.46666666666667,79.10000000000001,51.03333333333333,60.53333333333333,84.76666666666667,91.96666666666665,63.333333333333336,33.5,58.13333333333333,66.2,38.800000000000004
514,514,OREGON,2006,241,5269,-0.1416666666666667,0.7075000000000001,0.01,14.705,35.06666666666666,52.900000000000006,64.23333333333333,39.6,43.43333333333334,65.76666666666667,80.36666666666667,49.23333333333333,26.7,40.1,48.06666666666666,29.933333333333334
515,515,PENNSYLVANIA,2006,694,5206,1.1766666666666667,1.2925000000000002,0.69,14.705,34.0,57.93333333333334,67.63333333333334,43.46666666666666,42.93333333333334,70.16666666666667,77.76666666666667,52.800000000000004,25.066666666666666,45.699999999999996,57.46666666666667,34.16666666666667
516,516,RHODE ISLAND,2006,563,5320,3.083333333333333,3.083333333333333,0.88,14.705,34.63333333333333,57.6,68.66666666666667,46.46666666666667,43.46666666666667,66.93333333333334,78.03333333333333,55.20000000000001,25.766666666666666,48.26666666666666,59.26666666666667,37.766666666666666
517,517,SOUTH CAROLINA,2006,1855,2388,-0.695,-0.9425,-0.4,14.705,50.5,70.43333333333334,78.0,55.53333333333333,62.36666666666667,83.10000000000001,88.43333333333334,68.0,38.6,57.70000000000001,67.53333333333335,43.166666666666664
