,LOCATION,YEAR,Cooling_degree_days,Heating_degree_days,PDSI,PHDI,Palmer-Z-index,Crop Moisture Stress Index (CMSI)
125,NEW YORK,1998,588,5349,0.8108333333333334,1.3358333333333337,-0.04,6.24
126,NORTH CAROLINA,1998,1616,3038,0.04749999999999995,0.6650000000000001,-0.03,6.24
127,NORTH DAKOTA,1998,529,8461,0.6541666666666667,1.5991666666666664,0.78,6.24
128,OHIO,1998,841,4858,0.5233333333333333,1.2041666666666668,-0.1,6.24
129,OKLAHOMA,1998,2454,3377,0.5241666666666664,1.1375000000000002,0.1,6.24
130,OREGON,1998,293,5277,2.4600000000000004,2.4600000000000004,1.06,6.24
131,PENNSYLVANIA,1998,684,4946,-0.04333333333333352,0.28750000000000003,-0.71,6.24
132,RHODE ISLAND,1998,538,5237,0.7549999999999999,2.396666666666667,0.87,6.24
133,SOUTH CAROLINA,1998,2157,2312,0.4650000000000002,2.2566666666666664,0.0,6.24
134,SOUTH DAKOTA,1998,744,7088,4.985,4.985,1.72,6.24
135,TENNESSEE,1998,1635,3345,1.0875,1.7233333333333334,0.35,6.24
136,TEXAS,1998,3192,1733,0.5358333333333332,0.05166666666666669,-0.19,6.24
137,UTAH,1998,470,7251,4.2091666666666665,4.2091666666666665,1.48,6.24
138,VERMONT,1998,202,7196,1.7466666666666664,2.385,0.6,6.24
139,VIRGINIA,1998,1214,3786,0.13416666666666668,0.6183333333333333,-0.18,6.24
140,WASHINGTON,1998,264,5311,-0.5008333333333334,1.3350000000000002,0.16,6.24
141,WEST VIRGINIA,1998,826,4497,-0.165,0.5908333333333333,-0.37,6.24
142,WISCONSIN,1998,599,6420,0.045833333333333386,0.3458333333333332,-0.22,6.24
143,WYOMING,1998,297,8141,3.8825,3.8825,1.46,6.24
144,ALABAMA,1999,1961,2452,-0.8474999999999998,-0.8633333333333333,-0.59,19.03
145,ARIZONA,1999,2818,1851,-1.2725000000000002,-1.4075,-1.09,19.03
146,ARKANSAS,1999,1810,2973,-1.6416666666666664,-1.6416666666666664,-0.72,19.03
147,CALIFORNIA,1999,699,3053,-0.1741666666666667,2.035833333333333,-0.45,19.03
148,COLORADO,1999,265,6770,1.0316666666666667,2.233333333333334,0.58,19.03
149,CONNECTICUT,1999,708,5617,0.007499999999999997,-0.7916666666666666,-0.16,19.03
150,DELAWARE,1999,1154,4385,-1.2775,-2.228333333333333,-0.07,19.03
151,FLORIDA,1999,3438,629,-2.555,-2.555,-0.45,19.03
152,GEORGIA,1999,1708,2639,-3.0725,-3.0725,-1.07,19.03
153,IDAHO,1999,365,6908,0.10249999999999987,1.3816666666666668,-0.17,19.03
154,ILLINOIS,1999,940,5814,0.08250000000000003,0.3083333333333331,-0.42,19.03
155,INDIANA,1999,991,5412,-1.36,-1.17,-1.07,19.03
156,IOWA,1999,819,6371,0.9208333333333334,1.5466666666666666,0.1,19.03
157,KANSAS,1999,1351,4429,2.8025,3.630833333333334,0.82,19.03
158,KENTUCKY,1999,1306,4143,-2.7675,-2.7675,-1.38,19.03
159,LOUISIANA,1999,2728,1468,-1.4383333333333332,-1.1458333333333333,-0.98,19.03
160,MAINE,1999,336,7159,0.0341666666666666,0.0341666666666666,0.09,19.03
161,MARYLAND,1999,1143,4469,-1.8625,-2.9891666666666663,-0.21,19.03
162,MASSACHUSETTS,1999,605,5841,-0.33,-0.41,-0.21,19.03
163,MICHIGAN,1999,635,6509,-2.588333333333334,-2.588333333333334,-0.45,19.03
164,MINNESOTA,1999,482,7874,2.5000000000000004,2.5000000000000004,0.93,19.03
165,MISSISSIPPI,1999,2226,2144,-1.7349999999999997,-1.7349999999999997,-0.75,19.03
166,MISSOURI,1999,1251,4561,0.3391666666666664,0.6774999999999997,-0.61,19.03
167,MONTANA,1999,154,8086,0.6974999999999999,0.9141666666666668,0.09,19.03
168,NEBRASKA,1999,913,5734,2.1958333333333337,3.351666666666667,0.52,19.03
169,NEVADA,1999,1870,3377,-1.2099999999999995,1.7441666666666666,-0.94,19.03
170,NEW HAMPSHIRE,1999,370,7064,-0.335,-0.17499999999999996,-0.14,19.03
171,NEW JERSEY,1999,952,5056,-1.6966666666666663,-2.4291666666666663,-0.21,19.03
172,NEW MEXICO,1999,793,4347,-0.25583333333333336,-0.09249999999999996,-0.32,19.03
173,NEW YORK,1999,703,5829,-1.0299999999999998,-1.9341666666666664,-0.54,19.03
174,NORTH CAROLINA,1999,1371,3215,-1.194166666666667,-0.7200000000000002,0.13,19.03
175,NORTH DAKOTA,1999,397,8454,4.3983333333333325,4.3983333333333325,1.56,19.03
176,OHIO,1999,862,5537,-2.4258333333333337,-2.4258333333333337,-1.28,19.03
177,OKLAHOMA,1999,1854,3077,0.8658333333333332,1.7591666666666672,0.39,19.03
178,OREGON,1999,152,5467,-0.08750000000000001,1.4891666666666663,-0.16,19.03
179,PENNSYLVANIA,1999,764,5591,-1.905,-2.7025,-0.41,19.03
180,RHODE ISLAND,1999,663,5466,-0.10416666666666664,-0.44666666666666655,-0.24,19.03
181,SOUTH CAROLINA,1999,1843,2473,-2.166666666666667,-2.166666666666667,-0.39,19.03
182,SOUTH DAKOTA,1999,649,6884,6.1241666666666665,6.1241666666666665,1.53,19.03
183,TENNESSEE,1999,1448,3493,-1.0691666666666666,-0.9733333333333332,-0.77,19.03
184,TEXAS,1999,2832,1511,0.061666666666666675,0.18583333333333335,-0.62,19.03
185,UTAH,1999,416,6891,1.4625,2.1958333333333333,-0.14,19.03
186,VERMONT,1999,286,7615,-0.2433333333333332,-0.7975,-0.44,19.03
187,VIRGINIA,1999,1099,4140,-2.1108333333333333,-2.920833333333333,-0.36,19.03
188,WASHINGTON,1999,119,5766,1.7750000000000004,2.4441666666666664,0.64,19.03
189,WEST VIRGINIA,1999,843,4962,-3.7591666666666663,-3.7591666666666663,-1.16,19.03
190,WISCONSIN,1999,567,7073,0.07583333333333331,0.031666666666666544,0.22,19.03
191,WYOMING,1999,232,7844,3.3425,4.245833333333335,0.55,19.03
192,ALABAMA,2000,2056,2797,-3.018333333333333,-3.7675,-1.42,11.04
193,ARIZONA,2000,3156,1973,-2.5341666666666667,-3.545833333333333,-1.08,11.04
194,ARKANSAS,2000,1901,3532,-2.060833333333333,-2.5083333333333333,-0.52,11.04
195,CALIFORNIA,2000,832,2832,-0.5191666666666667,-1.1149999999999998,-0.38,11.04
196,COLORADO,2000,417,6878,-2.316666666666666,-1.711666666666667,-0.9,11.04
197,CONNECTICUT,2000,360,6112,0.6316666666666666,0.4108333333333334,0.32,11.04
198,DELAWARE,2000,869,4741,0.985,1.195,0.4,11.04
199,FLORIDA,2000,3350,719,-3.623333333333333,-3.623333333333333,-1.78,11.04
200,GEORGIA,2000,1711,3037,-3.81,-3.81,-1.03,11.04
201,IDAHO,2000,478,6934,-2.178333333333333,-2.178333333333333,-0.85,11.04
202,ILLINOIS,2000,809,6120,-0.00999999999999986,-0.4333333333333333,0.3,11.04
203,INDIANA,2000,793,5810,-0.2,-1.1299999999999997,0.6,11.04
204,IOWA,2000,808,6719,-1.0633333333333332,-2.024166666666667,-0.5,11.04
205,KANSAS,2000,1680,4928,-0.2966666666666668,0.33916666666666684,-0.28,11.04
206,KENTUCKY,2000,1137,4574,-2.5708333333333333,-2.5708333333333333,-0.18,11.04
207,LOUISIANA,2000,2788,1736,-3.2608333333333333,-3.940833333333333,-1.09,11.04
208,MAINE,2000,120,7966,0.21416666666666653,0.9066666666666666,0.09,11.04
209,MARYLAND,2000,876,4764,0.7408333333333333,0.4000000000000001,0.27,11.04
210,MASSACHUSETTS,2000,298,6366,0.7141666666666667,1.15,0.69,11.04
211,MICHIGAN,2000,431,6783,-0.1891666666666668,-0.9516666666666668,0.28,11.04
212,MINNESOTA,2000,395,8451,1.7125,1.7125,0.57,11.04
213,MISSISSIPPI,2000,2330,2523,-3.099166666666667,-3.798333333333333,-1.22,11.04
214,MISSOURI,2000,1315,5066,-1.5741666666666667,-2.730833333333333,-0.7,11.04
215,MONTANA,2000,219,8634,-2.785,-2.785,-1.38,11.04
216,NEBRASKA,2000,1125,6224,-1.4041666666666666,-1.5133333333333336,-0.76,11.04
217,NEVADA,2000,2235,3400,-2.5516666666666667,-2.5516666666666667,-0.65,11.04
218,NEW HAMPSHIRE,2000,137,7694,0.6308333333333332,1.205,0.68,11.04
219,NEW JERSEY,2000,604,5407,-0.2,-0.2958333333333332,0.12,11.04
220,NEW MEXICO,2000,1116,4357,-2.0275,-3.056666666666666,-0.89,11.04
221,NEW YORK,2000,376,6311,1.3241666666666665,1.5016666666666667,1.06,11.04
222,NORTH CAROLINA,2000,1332,3663,-0.9533333333333333,-0.5716666666666668,-0.48,11.04
223,NORTH DAKOTA,2000,411,9139,3.271666666666667,3.271666666666667,1.19,11.04
224,OHIO,2000,618,5867,-0.011666666666666622,-1.0691666666666668,0.56,11.04
225,OKLAHOMA,2000,2042,3699,0.21666666666666665,-0.2675,0.37,11.04
226,OREGON,2000,154,5465,-1.5358333333333334,-1.5358333333333334,-0.65,11.04
227,PENNSYLVANIA,2000,483,5924,0.02416666666666667,-0.9558333333333332,0.02,11.04
228,RHODE ISLAND,2000,356,6003,0.6908333333333333,0.6691666666666666,0.44,11.04
229,SOUTH CAROLINA,2000,1877,2919,-1.9883333333333333,-1.9883333333333333,-0.71,11.04
230,SOUTH DAKOTA,2000,718,7581,2.705,2.705,0.25,11.04
231,TENNESSEE,2000,1427,3930,-2.497499999999999,-2.497499999999999,-0.73,11.04
232,TEXAS,2000,3002,1812,-2.61,-3.775,-0.87,11.04
233,UTAH,2000,616,6796,-2.6699999999999995,-2.6699999999999995,-0.73,11.04
234,VERMONT,2000,105,8301,1.9525,1.8066666666666664,1.0,11.04
235,VIRGINIA,2000,948,4491,-0.03416666666666668,-0.5558333333333333,-0.08,11.04
236,WASHINGTON,2000,114,5905,-0.37333333333333335,-0.03166666666666665,-0.65,11.04
237,WEST VIRGINIA,2000,668,5256,-0.7941666666666666,-1.8291666666666664,-0.04,11.04
238,WISCONSIN,2000,428,7436,0.35999999999999993,0.2391666666666666,0.45,11.04
239,WYOMING,2000,348,8206,-3.4400000000000013,-2.981666666666667,-1.46,11.04
240,ALABAMA,2001,1717,2649,1.0375,0.0625000000000001,0.52,7.81
241,ARIZONA,2001,3200,2114,-0.10249999999999997,-0.8066666666666666,-0.48,7.81
242,ARKANSAS,2001,1796,3293,-0.04333333333333343,-0.3333333333333334,0.27,7.81
243,CALIFORNIA,2001,933,2965,-2.418333333333333,-2.418333333333333,-0.63,7.81
244,COLORADO,2001,398,6880,-2.6758333333333333,-2.6758333333333333,-0.97,7.81
245,CONNECTICUT,2001,570,5673,-0.9516666666666668,-0.9516666666666668,-0.85,7.81
246,DELAWARE,2001,1002,4356,-0.57,-0.0658333333333333,-0.46,7.81
247,FLORIDA,2001,3375,635,-3.1833333333333336,-3.1833333333333336,-0.44,7.81
248,GEORGIA,2001,1535,2679,-2.185833333333333,-2.185833333333333,-0.78,7.81
249,IDAHO,2001,543,6880,-3.9791666666666665,-3.9791666666666665,-1.34,7.81
250,ILLINOIS,2001,878,5732,0.665,0.56,0.45,7.81
251,INDIANA,2001,857,5261,0.8391666666666667,1.1933333333333334,0.75,7.81
252,IOWA,2001,819,6532,0.2066666666666667,0.7666666666666665,0.3,7.81
253,KANSAS,2001,1584,4633,0.6158333333333333,0.8533333333333334,0.2,7.81
254,KENTUCKY,2001,1141,4219,-0.3958333333333333,-1.1433333333333329,0.03,7.81
255,LOUISIANA,2001,2510,1663,1.3266666666666669,0.6875,0.88,7.81
256,MAINE,2001,263,7563,-3.293333333333333,-3.293333333333333,-2.01,7.81
257,MARYLAND,2001,973,4425,-0.7883333333333334,-0.9725,-0.85,7.81
258,MASSACHUSETTS,2001,490,5965,-0.615,-0.3558333333333333,-0.68,7.81
259,MICHIGAN,2001,560,6278,0.5166666666666667,0.5166666666666667,0.37,7.81
260,MINNESOTA,2001,521,8104,0.8975,2.3875,0.41,7.81
261,MISSISSIPPI,2001,1993,2387,1.75,0.21666666666666654,1.04,7.81
262,MISSOURI,2001,1277,4765,0.6166666666666666,-0.03083333333333325,0.52,7.81
263,MONTANA,2001,262,8252,-5.4750000000000005,-5.4750000000000005,-2.25,7.81
264,NEBRASKA,2001,1077,6008,0.6183333333333333,0.5891666666666667,0.34,7.81
265,NEVADA,2001,2359,3485,-3.18,-3.18,-1.13,7.81
266,NEW HAMPSHIRE,2001,298,7276,-1.7491666666666663,-1.7491666666666663,-1.33,7.81
267,NEW JERSEY,2001,763,5030,-1.0075,-1.0075,-1.1,7.81
268,NEW MEXICO,2001,1028,4510,0.6441666666666668,0.7058333333333332,-0.15,7.81
269,NEW YORK,2001,566,5788,-1.6583333333333332,-1.265,-1.2,7.81
270,NORTH CAROLINA,2001,1254,3211,-2.080833333333333,-2.080833333333333,-1.22,7.81
271,NORTH DAKOTA,2001,507,8763,1.506666666666666,2.8375,0.15,7.81
272,OHIO,2001,707,5344,-0.07583333333333332,-0.13166666666666665,-0.03,7.81
273,OKLAHOMA,2001,2042,3490,-0.5916666666666667,0.5083333333333333,-0.32,7.81
274,OREGON,2001,182,5364,-3.3233333333333337,-3.3233333333333337,-0.88,7.81
275,PENNSYLVANIA,2001,616,5523,-1.8633333333333333,-1.8633333333333333,-1.19,7.81
276,RHODE ISLAND,2001,535,5570,0.1483333333333333,0.2808333333333332,-0.29,7.81
277,SOUTH CAROLINA,2001,1748,2427,-2.8625000000000003,-2.8625000000000003,-1.52,7.81
278,SOUTH DAKOTA,2001,778,7474,1.3633333333333335,2.5125000000000006,0.68,7.81
279,TENNESSEE,2001,1274,3692,-0.12916666666666676,-0.9691666666666668,0.39,7.81
280,TEXAS,2001,2725,1908,0.24749999999999986,2.1225,0.33,7.81
281,UTAH,2001,633,6827,-2.0933333333333333,-2.0933333333333333,-0.76,7.81
282,VERMONT,2001,224,7697,-1.5741666666666667,-1.3833333333333335,-1.34,7.81
283,VIRGINIA,2001,931,4127,-1.0175,-1.1658333333333335,-0.88,7.81
284,WASHINGTON,2001,138,5826,-0.5716666666666668,-2.049166666666667,-0.24,7.81
285,WEST VIRGINIA,2001,676,4923,-0.9216666666666667,-0.9483333333333336,-0.64,7.81
286,WISCONSIN,2001,545,7033,1.5558333333333338,1.5558333333333338,0.47,7.81
