"Min Year","Max Year","Data Item"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO NON-RELATIVE - ACRES"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO NON-RELATIVE - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO RELATIVE - ACRES"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO RELATIVE - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA TRUST - ACRES"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA TRUST - AREA, MEASURED IN COUNT"
"1997","2017","AG LAND, OWNED, IN FARMS - ACRES"
"1997","2017","AG LAND, OWNED, IN FARMS - NUMBER OF OPERATIONS"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, (EXCL PURCHASE & INHERITANCE & GIFT) - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, (EXCL PURCHASE & INHERITANCE & GIFT) - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED IN AUCTION - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, PURCHASED IN AUCTION - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, VIA INHERITANCE & GIFT - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ACQUIRED, VIA INHERITANCE & GIFT - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, VIA WILL - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, VIA WILL - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA GIFT - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA GIFT - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA OTHER - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA OTHER - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO NON-RELATIVE - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO NON-RELATIVE - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO RELATIVE - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE TO RELATIVE - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA TRUST - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA TRUST - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, FULLY PAID FOR - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, FULLY PAID FOR - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, NOT FULLY PAID FOR - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, NOT FULLY PAID FOR - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION & TRUST - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION & TRUST - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION, (EXCL FAMILY HELD) - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION, (EXCL FAMILY HELD) - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION, FAMILY HELD - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION, FAMILY HELD - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, INDIVIDUAL & PARTNERSHIP - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, INDIVIDUAL & PARTNERSHIP - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, INDIVIDUAL - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, INDIVIDUAL - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, OTHER - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, OTHER - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, PARTNERSHIP - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, PARTNERSHIP - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, TRUST - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, TRUST - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, LEASED - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, LEASED - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, LEASED, (EXCL OIL & GAS) - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, LEASED, (EXCL OIL & GAS) - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, LEASED, OIL & GAS - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, LEASED, OIL & GAS - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, LEASED, WIND - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, LEASED, WIND - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, SOLD - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, SOLD - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, SOLD, (EXCL OIL & GAS) - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, SOLD, (EXCL OIL & GAS) - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, SOLD, DEVELOPMENT - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, SOLD, DEVELOPMENT - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, SOLD, OIL & GAS - ACRES"
"2014","2014","AG LAND, OWNED, RENTED TO OTHERS, RIGHTS, SOLD, OIL & GAS - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RIGHTS, LEASED - ACRES"
"2014","2014","AG LAND, OWNED, RIGHTS, LEASED - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RIGHTS, LEASED, (EXCL OIL & GAS) - ACRES"
"2014","2014","AG LAND, OWNED, RIGHTS, LEASED, (EXCL OIL & GAS) - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RIGHTS, LEASED, OIL & GAS - ACRES"
"2014","2014","AG LAND, OWNED, RIGHTS, LEASED, OIL & GAS - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RIGHTS, SOLD - ACRES"
"2014","2014","AG LAND, OWNED, RIGHTS, SOLD - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RIGHTS, SOLD, (EXCL OIL & GAS) - ACRES"
"2014","2014","AG LAND, OWNED, RIGHTS, SOLD, (EXCL OIL & GAS) - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, RIGHTS, SOLD, OIL & GAS - ACRES"
"2014","2014","AG LAND, OWNED, RIGHTS, SOLD, OIL & GAS - AREA, MEASURED IN COUNT"
"1997","2017","AG LAND, PASTURELAND - ACRES"
"1995","2019","AG LAND, PASTURELAND - ASSET VALUE, MEASURED IN $ / ACRE"
"1997","2017","AG LAND, PASTURELAND - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, PASTURELAND - OPERATIONS WITH TREATED"
"1997","2017","AG LAND, PASTURELAND - TREATED, MEASURED IN ACRES"
"1997","2017","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND) - ACRES"
"2002","2017","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND) - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND) - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2017","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND) - NUMBER OF OPERATIONS"
"2013","2013","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND), IRRIGATED - ACRES"
"2013","2013","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND), IRRIGATED - NUMBER OF OPERATIONS"
"2015","2015","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC - ACRES"
"2015","2015","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC - NUMBER OF OPERATIONS"
"2014","2015","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES"
"2014","2015","AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, PASTURELAND, (EXCL WOODLAND) - ACRES"
"1997","2017","AG LAND, PASTURELAND, (EXCL WOODLAND) - NUMBER OF OPERATIONS"
"2007","2016","AG LAND, PASTURELAND, ORGANIC - ACRES"
"2007","2016","AG LAND, PASTURELAND, ORGANIC - NUMBER OF OPERATIONS"
"2008","2008","AG LAND, PASTURELAND, ORGANIC, TRANSITIONING - ACRES"
"2008","2008","AG LAND, PASTURELAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS"
"2014","2014","AG LAND, PASTURELAND, OWNED, RENTED TO OTHERS - ACRES"
"2014","2014","AG LAND, PASTURELAND, OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT"
"2015","2015","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC - ACRES"
"2015","2015","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC - NUMBER OF OPERATIONS"
"2014","2015","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - ACRES"
"2014","2015","AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS"
"2012","2017","AG LAND, RENTED FROM OTHERS - ACRES"
"2012","2017","AG LAND, RENTED FROM OTHERS - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, RENTED FROM OTHERS, IN FARMS - ACRES"
"1997","2017","AG LAND, RENTED FROM OTHERS, IN FARMS - NUMBER OF OPERATIONS"
"2012","2017","AG LAND, RENTED TO OTHERS - ACRES"
"2014","2014","AG LAND, RENTED TO OTHERS - AREA, MEASURED IN COUNT"
"2012","2017","AG LAND, RENTED TO OTHERS - NUMBER OF OPERATIONS"
"2014","2014","AG LAND, RENTED TO OTHERS, CONSERVATION EASEMENT - ACRES"
"2014","2014","AG LAND, RENTED TO OTHERS, CONSERVATION EASEMENT - AREA, MEASURED IN COUNT"
"2017","2017","AG LAND, RESERVATION LAND - ACRES"
"1997","2017","AG LAND, WOODLAND - ACRES"
"2002","2017","AG LAND, WOODLAND - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, WOODLAND - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2017","AG LAND, WOODLAND - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, WOODLAND, (EXCL PASTURED) - ACRES"
"2002","2017","AG LAND, WOODLAND, (EXCL PASTURED) - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, WOODLAND, (EXCL PASTURED) - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2017","AG LAND, WOODLAND, (EXCL PASTURED) - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, WOODLAND, PASTURED - ACRES"
"2002","2017","AG LAND, WOODLAND, PASTURED - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, WOODLAND, PASTURED - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2017","AG LAND, WOODLAND, PASTURED - NUMBER OF OPERATIONS"
"1971","2019","AG SERVICES & RENT - INDEX FOR PRICE PAID, 1910 - 1914"
"1985","2018","AG SERVICES - EXPENSE, MEASURED IN $"
