YEAR,LOCATION,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE
1999,VIRGINIA,440000.0,470000.0,11880000.0,27.0
1999,WISCONSIN,1300000.0,1350000.0,59800000.0,46.0
2000,ALABAMA,160000.0,190000.0,2880000.0,18.0
2000,ARKANSAS,3150000.0,3350000.0,80325000.0,25.5
2000,DELAWARE,213000.0,215000.0,9159000.0,43.0
2000,FLORIDA,15000.0,20000.0,285000.0,19.0
2000,GEORGIA,140000.0,170000.0,3360000.0,24.0
2000,ILLINOIS,10450000.0,10500000.0,459800000.0,44.0
2000,INDIANA,5480000.0,5500000.0,252080000.0,46.0
2000,IOWA,10680000.0,10700000.0,464580000.0,43.5
2000,KANSAS,2500000.0,2950000.0,50000000.0,20.0
2000,KENTUCKY,1160000.0,1180000.0,45240000.0,39.0
2000,LOUISIANA,850000.0,930000.0,20400000.0,24.0
2000,MARYLAND,515000.0,520000.0,22145000.0,43.0
2000,MICHIGAN,2030000.0,2050000.0,73080000.0,36.0
2000,MINNESOTA,7150000.0,7300000.0,293150000.0,41.0
2000,MISSISSIPPI,1580000.0,1700000.0,34760000.0,22.0
2000,MISSOURI,5000000.0,5150000.0,175000000.0,35.0
2000,NEBRASKA,4575000.0,4650000.0,173850000.0,38.0
2000,NEW JERSEY,98000.0,100000.0,3920000.0,40.0
2000,NEW YORK,132000.0,135000.0,4356000.0,33.0
2000,NORTH CAROLINA,1360000.0,1400000.0,44200000.0,32.5
2000,NORTH DAKOTA,1850000.0,1900000.0,59200000.0,32.0
2000,OHIO,4440000.0,4450000.0,186480000.0,42.0
2000,OKLAHOMA,290000.0,440000.0,4350000.0,15.0
2000,PENNSYLVANIA,385000.0,390000.0,16555000.0,43.0
2000,SOUTH CAROLINA,430000.0,450000.0,10750000.0,25.0
2000,SOUTH DAKOTA,4370000.0,4400000.0,152950000.0,35.0
2000,TENNESSEE,1150000.0,1180000.0,28750000.0,25.0
2000,TEXAS,260000.0,290000.0,7020000.0,27.0
2000,VIRGINIA,480000.0,490000.0,18480000.0,38.5
2000,WEST VIRGINIA,15000.0,16000.0,705000.0,47.0
2000,WISCONSIN,1500000.0,1550000.0,60000000.0,40.0
2001,ALABAMA,135000.0,140000.0,4725000.0,35.0
2001,ARKANSAS,2850000.0,2900000.0,91200000.0,32.0
2001,DELAWARE,201000.0,205000.0,7839000.0,39.0
2001,FLORIDA,9000.0,10000.0,261000.0,29.0
2001,GEORGIA,155000.0,165000.0,4030000.0,26.0
