YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT POOR","CONDITION in PCT FAIR","CONDITION in PCT EXCELLENT","CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, PREVIOUS YEAR in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT GOOD","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT"
1986,IOWA,19,"  ","   ","WEEK #34",SOYBEANS," ",4,27,1,68," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #35",SOYBEANS," ",5,26," ",69," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #36",SOYBEANS," ",7,33," ",60," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #37",SOYBEANS," ",7,22," ",71," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #38",SOYBEANS,1,6,26," ",67," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #39",SOYBEANS,1,9,21," ",69," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #24",SOYBEANS,2,34,2,1,61," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #25",SOYBEANS,2,34,4,1,59," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #26",SOYBEANS,6,43,1," ",50," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #27",SOYBEANS,9,32,4," ",55," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #28",SOYBEANS,5,37,5," ",53," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #29",SOYBEANS,5,30,9," ",56," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #30",SOYBEANS,2,32,10,1,55," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #31",SOYBEANS,2,27,12," ",59," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #32",SOYBEANS,2,31,14,1,52," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #33",SOYBEANS,2,25,13,1,59," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #34",SOYBEANS,1,29,10,1,59," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #35",SOYBEANS," ",30,6,1,63," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #36",SOYBEANS,2,30,5,1,62," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #37",SOYBEANS,3,26,3," ",68," "," "," "," "," "," "," "," "," "," "
